a,r,b
{sys_id:3052},"{type:раздел,sys_id:464}",{sys_id:1309}
{sys_id:3091},"{type:раздел,sys_id:518}",{sys_id:1309}
{sys_id:3090},"{type:раздел,sys_id:516}",{sys_id:1309}
{sys_id:3089},"{type:раздел,sys_id:514}",{sys_id:1309}
{sys_id:3088},"{type:раздел,sys_id:512}",{sys_id:1309}
{sys_id:3087},"{type:раздел,sys_id:510}",{sys_id:1309}
{sys_id:3085},"{type:раздел,sys_id:506}",{sys_id:1309}
{sys_id:3078},"{type:раздел,sys_id:492}",{sys_id:1311}
{sys_id:3480},"{type:раздел,sys_id:3681}",{sys_id:1311}
{sys_id:3479},"{type:раздел,sys_id:3679}",{sys_id:1311}
{sys_id:3447},"{type:раздел,sys_id:3653}",{sys_id:1311}
{sys_id:3457},"{type:раздел,sys_id:3575}",{sys_id:1311}
{sys_id:1312},"{type:раздел,sys_id:2391}",{sys_id:1311}
{sys_id:3039},"{type:раздел,sys_id:398}",{sys_id:1312}
{sys_id:3038},"{type:раздел,sys_id:396}",{sys_id:1312}
{sys_id:3037},"{type:раздел,sys_id:394}",{sys_id:1312}
{sys_id:3036},"{type:раздел,sys_id:392}",{sys_id:1312}
{sys_id:3035},"{type:раздел,sys_id:390}",{sys_id:1312}
{sys_id:3034},"{type:раздел,sys_id:388}",{sys_id:1312}
{sys_id:2878},"{type:от,sys_id:1801}",{sys_id:1324}
{sys_id:2893},"{type:от,sys_id:1773}",{sys_id:1324}
{sys_id:2873},"{type:от,sys_id:1757}",{sys_id:1324}
{sys_id:2871},"{type:от,sys_id:1689}",{sys_id:1324}
{sys_id:2778},"{type:от,sys_id:1734}",{sys_id:1324}
{sys_id:2850},"{type:от,sys_id:1698}",{sys_id:1324}
{sys_id:2816},"{type:от,sys_id:1715}",{sys_id:1324}
{sys_id:2831},"{type:от,sys_id:1675}",{sys_id:1324}
{sys_id:2829},"{type:от,sys_id:1659}",{sys_id:1324}
{sys_id:2841},"{type:от,sys_id:1639}",{sys_id:1324}
{sys_id:2839},"{type:от,sys_id:1624}",{sys_id:1324}
{sys_id:2823},"{type:от,sys_id:1599}",{sys_id:1324}
{sys_id:2810},"{type:от,sys_id:1519}",{sys_id:1324}
{sys_id:2791},"{type:от,sys_id:1479}",{sys_id:1324}
{sys_id:2770},"{type:от,sys_id:1488}",{sys_id:1324}
{sys_id:2769},"{type:от,sys_id:1445}",{sys_id:1324}
{sys_id:2765},"{type:от,sys_id:1403}",{sys_id:1324}
{sys_id:2783},"{type:от,sys_id:1410}",{sys_id:1324}
{sys_id:2760},"{type:от,sys_id:1390}",{sys_id:1324}
{sys_id:2735},"{type:от,sys_id:1286}",{sys_id:1324}
{sys_id:2741},"{type:от,sys_id:3556}",{sys_id:1324}
{sys_id:2725},"{type:от,sys_id:1169}",{sys_id:1324}
